"strategy","action","entry_time","result_10min","pnl_value"
"MWP10-1m","Sell","2025-10-01 20:35:05","LOSE",-50
"SuperTrend9","Buy","2025-10-01 20:36:03","LOSE",-50
"MWP10-1m","Buy","2025-10-01 20:37:05","LOSE",-50
"Range FRAMA100-3","Sell","2025-10-01 20:42:02","LOSE",-50
"SuperTrend10","Sell","2025-10-01 20:42:03","LOSE",-50
"MWP10-1m","Sell","2025-10-01 20:42:03","LOSE",-50
"SuperTrend9","Sell","2025-10-01 20:43:03","LOSE",-50
"MWP10-1m","Buy","2025-10-01 20:56:03","WIN",50
"SuperTrend9","Buy","2025-10-01 20:56:03","WIN",50
"Range Filter5","Buy","2025-10-01 21:00:12","WIN",50
"Rang Fillter WR","Buy","2025-10-01 21:05:04","LOSE",-50
"Range FRAMA100-3","Buy","2025-10-01 21:38:01","LOSE",-50
"MWP10-1m","Sell","2025-10-01 21:50:04","LOSE",-50
"SuperTrend9","Sell","2025-10-01 21:50:05","LOSE",-50
"Range FRAMA100-3","Buy","2025-10-01 21:57:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 22:03:02","LOSE",-50
"MWP10-1m","Buy","2025-10-01 22:03:02","LOSE",-50
"MWP10-1m","Sell","2025-10-01 22:09:03","LOSE",-50
"SuperTrend9","Sell","2025-10-01 22:09:03","LOSE",-50
"SuperTrend10","Sell","2025-10-01 22:10:03","LOSE",-50
"SuperTrend9","Buy","2025-10-01 22:19:02","WIN",50
"MWP10-1m","Buy","2025-10-01 22:20:03","WIN",50
"SuperTrend9","Sell","2025-10-01 22:32:01","LOSE",-50
"MWP10-1m","Sell","2025-10-01 22:33:02","LOSE",-50
"SuperTrend10","Sell","2025-10-01 22:51:02","LOSE",-50
"MWP10-1m","Buy","2025-10-01 23:01:03","WIN",50
"SuperTrend9","Buy","2025-10-01 23:06:02","WIN",50
"Range FRAMA100-3","Buy","2025-10-01 23:08:02","WIN",50
"MWP10-1m","Sell","2025-10-01 23:50:04","WIN",50
"SuperTrend9","Sell","2025-10-01 23:50:04","WIN",50
"SuperTrend10","Sell","2025-10-01 23:51:02","WIN",50
